Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,11-Apr-14,430.8,428.9,437.8,422.2,423,423.6,429.01,6082343,2609404028,73848,3070781,50.49
TATAMOTORS,EQ,15-Apr-14,423.6,425.6,429.45,409.05,415,411.95,414.56,6865538,2846208282,89910,3529239,51.41
TATAMOTORS,EQ,16-Apr-14,411.95,409.5,418.95,409.35,412.7,411.15,413.4,3782508,1563706696,71941,1595069,42.17
TATAMOTORS,EQ,17-Apr-14,411.15,415.35,430.6,415.3,430.2,429.1,424.46,4577368,1942889808,58447,1772729,38.73
TATAMOTORS,EQ,21-Apr-14,429.1,424.9,434.55,424.15,432,432.1,430.02,2818637,1212062303,32599,973720,34.55
TATAMOTORS,EQ,22-Apr-14,432.1,430.9,434.7,426.6,428.35,428.8,430.35,2488045,1070729977,38718,992845,39.9
TATAMOTORS,EQ,23-Apr-14,428.8,430.3,433.7,422.3,425.85,425.05,426.82,5383562,2297796269,71632,2951857,54.83
TATAMOTORS,EQ,25-Apr-14,425.05,425.05,430.75,422.6,424.15,423.25,426.21,4118462,1755311182,63783,2254092,54.73
TATAMOTORS,EQ,28-Apr-14,423.25,423.1,423.1,415,416.55,416.45,418.21,3517997,1471257233,38320,2067978,58.78
TATAMOTORS,EQ,29-Apr-14,416.45,416.05,418.8,407.6,410.5,408.95,412.1,2379745,980684334.7,33496,1054331,44.3
TATAMOTORS,EQ,30-Apr-14,408.95,413.7,418,404.2,416.9,414.75,413.65,5583892,2309776029,67120,3147328,56.36
TATAMOTORS,EQ,2-May-14,414.75,418,420.3,411.2,414.75,414.75,415.17,2816896,1169489189,50832,1270767,45.11
TATAMOTORS,EQ,5-May-14,414.75,408.55,415.9,408.55,414.5,414.45,412.83,2450473,1011627646,31446,905592,36.96
TATAMOTORS,EQ,6-May-14,414.45,414.9,422,414.5,419.6,419.15,419.12,2735911,1146678807,36332,1023041,37.39
TATAMOTORS,EQ,7-May-14,419.15,419,421.7,415.5,417,416.7,418.49,3380285,1414627988,105909,2190070,64.79
TATAMOTORS,EQ,8-May-14,416.7,419.9,424.2,417.55,423.85,423.05,421.82,3040775,1282653346,51664,1575818,51.82
TATAMOTORS,EQ,9-May-14,423.05,423.95,429.1,419.25,428.35,427.5,425.08,5002332,2126403797,86335,2685089,53.68
TATAMOTORS,EQ,12-May-14,427.5,427.4,446.5,426.5,443.8,445.2,437.36,6310558,2759983680,89878,3356760,53.19
TATAMOTORS,EQ,13-May-14,445.2,447.25,455.75,438.8,442.35,440.95,448.81,5470693,2455288089,86416,3342900,61.11
TATAMOTORS,EQ,14-May-14,440.95,440,446.1,434.05,442.65,442.35,439.95,2878176,1266247890,56999,1420440,49.35
TATAMOTORS,EQ,15-May-14,442.35,445,448.65,437.15,439.6,439.65,442.66,4353266,1927022314,96961,2745564,63.07
TATAMOTORS,EQ,16-May-14,439.65,444.1,465,443.5,449.75,449.85,456.09,9394433,4284712483,107351,5313795,56.56
TATAMOTORS,EQ,19-May-14,449.85,456,457.8,442.8,444.9,444.4,448.64,5822795,2612348472,103214,3828794,65.76
TATAMOTORS,EQ,20-May-14,444.4,446.05,451.85,436.6,439.4,439.85,441.93,6228431,2752526562,131105,3931393,63.12
TATAMOTORS,EQ,21-May-14,439.85,442.3,444.95,434.1,437.85,436.95,438.76,5246604,2302017064,94150,3291473,62.74
TATAMOTORS,EQ,22-May-14,436.95,437.5,441.15,428.25,430.5,430.8,433.44,7587124,3288532003,114014,5135760,67.69
TATAMOTORS,EQ,23-May-14,430.8,427.35,439.9,425,432,431.3,432.68,7325923,3169808012,66096,4453554,60.79
TATAMOTORS,EQ,26-May-14,431.3,438,453.75,438,443.65,444.05,445.34,9114207,4058922991,80032,4609283,50.57
TATAMOTORS,EQ,27-May-14,444.05,447.35,451.35,433.5,436.65,436.6,439.21,5495046,2413456825,51139,2948063,53.65
TATAMOTORS,EQ,28-May-14,436.6,433,435.8,423.5,431,428.75,428.19,8431663,3610323035,97240,5734889,68.02
TATAMOTORS,EQ,29-May-14,428.75,424.45,432.35,421.35,425,424.3,426.99,7090240,3027452184,88634,4553622,64.22
TATAMOTORS,EQ,30-May-14,424.3,411.5,422.2,407.05,416.25,415.05,416.6,11027927,4594215347,111169,6681254,60.58
TATAMOTORS,EQ,2-Jun-14,415.05,415,422.7,410.55,420.3,420.75,418.98,5453105,2284751863,90065,3483763,63.89
TATAMOTORS,EQ,3-Jun-14,420.75,417.35,424,416.25,421,420.9,421.08,8815039,3711819701,144091,5748947,65.22
TATAMOTORS,EQ,4-Jun-14,420.9,425,429.5,421,421.65,422.05,424.58,6432255,2730986319,83155,3629154,56.42
TATAMOTORS,EQ,5-Jun-14,422.05,420,436.05,417.15,434.85,435,430.64,8990112,3871485481,100467,4293667,47.76
TATAMOTORS,EQ,6-Jun-14,435,437,440.5,428.5,436.5,439.1,435.42,8064951,3511635484,101573,4131092,51.22
TATAMOTORS,EQ,9-Jun-14,439.1,439.5,453.4,439.5,447.75,448.6,447.22,6990208,3126134606,110492,2786169,39.86
TATAMOTORS,EQ,10-Jun-14,448.6,450.3,455.4,442.45,452.1,453.4,450.67,6351229,2862294489,93987,2830693,44.57
